Entity,Code,Continent,ghi_2000,ghi_2006,ghi_2012,ghi_2021,gdp_pc_2000_ppp2017_intl_dollars,gdp_pc_2006_ppp2017_intl_dollars,gdp_pc_2012_ppp2017_intl_dollars,gdp_pc_2020_ppp2017_intl_dollars,ghi_severity_2021,ghi_change_2000_2021,ghi_pct_change_2000_2021,ghi_annual_change_2000_2021,ghi_change_2000_2006,ghi_change_2006_2012,ghi_change_2012_2021,gdp_source_year,gdp_pc_latest_pre_2021_ppp2017_intl_dollars,population_2021,log10_gdp_pc_latest_pre_2021,has_gdp_match_for_2021_ghi,ghi_predicted_from_gdp,ghi_residual_vs_gdp,gdp_outlier_flag,rank_highest_ghi_2021,rank_largest_improvement_2000_2021,rank_higher_than_expected_hunger_vs_gdp,rank_lower_than_expected_hunger_vs_gdp,visualisation_use_flags
Afghanistan,AFG,Asia,50.9,42.7,34.3,28.3,,1315.7890625,2075.49169921875,1970.5601806640625,Serious,-22.6,-44.40078585,-1.076190476,-8.2,-8.4,-6.0,2020.0,1970.560181,40099460,3.294589703,yes,28.93176759,-0.6317675879,Close to GDP-based expectation,17,8.0,63,60.0,top_20_highest_ghi_2021;top_15_largest_improvement_2000_2021;gdp_scatter_ghi_2021_vs_gdp
Albania,ALB,Europe,20.7,15.9,8.8,6.2,5892.59033203125,8568.5615234375,11227.966796875,13191.9521484375,Low,-14.5,-70.04830918,-0.6904761905,-4.8,-7.1,-2.6,2020.0,13191.95215,2854710,4.120309067,yes,10.50798706,-4.307987065,Close to GDP-based expectation,102,25.0,92,31.0,gdp_scatter_ghi_2021_vs_gdp
Algeria,DZA,Africa,14.5,11.7,8.9,6.9,8710.4443359375,10527.4091796875,11233.5166015625,10735.3828125,Low,-7.6,-52.4137931,-0.3619047619,-2.8,-2.8,-2.0,2020.0,10735.38281,44177964,4.030817536,yes,12.50475789,-5.604757894,Lower hunger than GDP alone predicts,97,53.0,103,20.0,gdp_scatter_ghi_2021_vs_gdp;lower_hunger_than_expected_given_gdp
Angola,AGO,Africa,65.0,46.9,27.8,26.0,4727.96630859375,6681.10107421875,8036.6923828125,6110.2744140625,Serious,-39.0,-60.0,-1.857142857,-18.1,-19.1,-1.8,2020.0,6110.274414,34503776,3.786060715,yes,17.96586991,8.03413009,Higher hunger than GDP alone predicts,30,1.0,13,110.0,top_15_largest_improvement_2000_2021;gdp_scatter_ghi_2021_vs_gdp;higher_hunger_than_expected_given_gdp
Argentina,ARG,South America,6.4,5.6,5.2,5.3,18625.283203125,20777.65234375,24118.8671875,19690.662109375,Low,-1.1,-17.1875,-0.05238095238,-0.8,-0.4,0.1,2020.0,19690.66211,45276788,4.29426032,yes,6.626717187,-1.326717187,Close to GDP-based expectation,108,100.0,67,56.0,gdp_scatter_ghi_2021_vs_gdp
Armenia,ARM,Asia,19.3,13.3,10.4,7.2,4048.25,8464.4853515625,10397.654296875,12619.892578125,Low,-12.1,-62.69430052,-0.5761904762,-6.0,-2.9,-3.2,2020.0,12619.89258,2790971,4.101055658,yes,10.93757683,-3.737576826,Close to GDP-based expectation,96,31.0,89,34.0,gdp_scatter_ghi_2021_vs_gdp
Azerbaijan,AZE,Asia,25.0,15.9,10.6,7.5,3998.5205078125,9453.94140625,14027.46875,13726.76953125,Low,-17.5,-70.0,-0.8333333333,-9.1,-5.3,-3.1,2020.0,13726.76953,10312992,4.137568342,yes,10.12289123,-2.622891228,Close to GDP-based expectation,94,15.0,77,46.0,top_15_largest_improvement_2000_2021;gdp_scatter_ghi_2021_vs_gdp
Bangladesh,BGD,Asia,34.0,28.9,28.6,19.1,1937.729248046875,2399.082275390625,3195.781005859375,4871.4462890625,Moderate,-14.9,-43.82352941,-0.7095238095,-5.1,-0.3,-9.5,2020.0,4871.446289,169356240,3.687657919,yes,20.16147244,-1.061472438,Close to GDP-based expectation,50,23.0,65,58.0,gdp_scatter_ghi_2021_vs_gdp
Belarus,BLR,Europe,2.5,2.5,2.5,2.5,8053.173828125,13214.87109375,18611.455078125,19186.775390625,Low,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,19186.77539,9578172,4.283001992,yes,6.877917507,-4.377917507,Close to GDP-based expectation,111,103.0,95,28.0,gdp_scatter_ghi_2021_vs_gdp
Benin,BEN,Africa,34.0,27.7,24.0,22.2,2478.21826171875,2606.8173828125,2759.84814453125,3323.14453125,Serious,-11.8,-34.70588235,-0.5619047619,-6.3,-3.7,-1.8,2020.0,3323.144531,12996901,3.52154923,yes,23.86775589,-1.66775589,Close to GDP-based expectation,44,33.0,71,52.0,gdp_scatter_ghi_2021_vs_gdp
