Entity,Code,Year,ghi
Somalia,SOM,2000,58.1
Ethiopia,ETH,2000,53.5
Afghanistan,AFG,2000,50.9
Chad,TCD,2000,50.8
Central African Republic,CAF,2000,48.9
Madagascar,MDG,2000,42.8
Cambodia,KHM,2000,41.1
India,IND,2000,38.8
Nepal,NPL,2000,37.4
Bangladesh,BGD,2000,34.0
Somalia,SOM,2006,57.9
Chad,TCD,2006,51.2
Central African Republic,CAF,2006,48.0
Ethiopia,ETH,2006,43.4
Afghanistan,AFG,2006,42.7
Madagascar,MDG,2006,41.6
India,IND,2006,37.4
Nepal,NPL,2006,30.9
Bangladesh,BGD,2006,28.9
Cambodia,KHM,2006,27.1
Somalia,SOM,2012,65.1
Chad,TCD,2012,45.7
Central African Republic,CAF,2012,40.5
Afghanistan,AFG,2012,34.3
Madagascar,MDG,2012,34.3
Ethiopia,ETH,2012,33.5
India,IND,2012,28.8
Bangladesh,BGD,2012,28.6
Cambodia,KHM,2012,24.2
Nepal,NPL,2012,23.1
Somalia,SOM,2021,50.8
Central African Republic,CAF,2021,43.0
Chad,TCD,2021,39.6
Madagascar,MDG,2021,36.3
Afghanistan,AFG,2021,28.3
India,IND,2021,27.5
Ethiopia,ETH,2021,24.1
Bangladesh,BGD,2021,19.1
Nepal,NPL,2021,19.1
Cambodia,KHM,2021,17.0
